0 1 2 
0 1 3 
0 1 4 
0 1 5 
0 1 6 
0 1 7 
0 4 1 
0 4 2 
0 4 3 
0 4 5 
0 4 6 
0 4 7 
0 5 1 
0 5 2 
0 5 3 
0 5 4 
0 5 6 
0 5 7 
1 0 2 
1 0 3 
1 0 4 
1 0 5 
1 0 6 
1 0 7 
1 4 0 
1 4 2 
1 4 3 
1 4 5 
1 4 6 
1 4 7 
1 5 0 
1 5 2 
1 5 3 
1 5 4 
1 5 6 
1 5 7 
4 0 1 
4 0 2 
4 0 3 
4 0 5 
4 0 6 
4 0 7 
4 1 0 
4 1 2 
4 1 3 
4 1 5 
4 1 6 
4 1 7 
4 5 0 
4 5 1 
4 5 2 
4 5 3 
4 5 6 
4 5 7 
5 0 1 
5 0 2 
5 0 3 
5 0 4 
5 0 6 
5 0 7 
5 1 0 
5 1 2 
5 1 3 
5 1 4 
5 1 6 
5 1 7 
5 4 0 
5 4 1 
5 4 2 
5 4 3 
5 4 6 
5 4 7 
